termurah;termurahhhh
pengin;pengen
menyatakan;nyatakan
gratis;graaatiiiis
menyatakan;nyatakan
meriah;meriahh
cantik;cantikkkm
banget;bangett
parah;parahh
yuk;yuuk
mantab;mantabs
banget;bingits
ya;yuppss
menyindir;nyindir
banget;bgt
sono;onoh
banyak;bnyk
anaknya;anakny
staf-stafnya;staf2nya
gara-gara;gara2
saja;ajaa
menghilangkan;ngilangin
banget;begete
menyindir;nyindir
banget;bgt
aduh;aduhh
yang;yg
mantap;manteppp
hati-hati;hati2
jangan-jangan;jangan2
anaknya;anakny
kata-katanya;kata2nya
sayang;ynk
"menangis-nangis;nangis"""
"hati-hati;hati"""
"jangan-jangan;jangan"""
memang;emank
kalo;klo
menjaga;jagain
dengan;dgn
cara;cr
memang;emank
diamkan;diemin
cuma;cm
saja;aja
terus;trs
sudah;uda
menghancurkan;hancurin
enggak;ga
cukup;ckp
cuma;cm
kalo;klo
mungkin;mgkn
atau;ato
diapakan;diapain
